word,syllable
blow,No syllable
blue,No syllable
board,No syllable
boat,No syllable
body,No syllable
bomb,No syllable
bombing,No syllable
bond,No syllable
bone,No syllable
book,No syllable
boom,No syllable
boot,No syllable
border,bor-​der
born,No syllable
borrow,bor-​row
boss,No syllable
both,No syllable
bother,both-​er
bottle,bot-​tle
bottom,bot-​tom
boundary,bound-​ary
bowl,No syllable
box,No syllable
boy,No syllable
boyfriend,boy-​friend
brain,No syllable
branch,No syllable
brand,No syllable
bread,No syllable
break,No syllable
breakfast,break-​fast
breast,No syllable
breath,No syllable
breathe,No syllable
brick,No syllable
bridge,No syllable
brief,No syllable
briefly,brief-​ly
bright,No syllable
brilliant,bril-​liant
bring,No syllable
British,Brit-​ish
broad,No syllable
broken,bro-​ken
brother,broth-​er
brown,No syllable
brush,No syllable
buck,No syllable
budget,bud-​get
build,No syllable
building,build-​ing
bullet,bul-​let
bunch,No syllable
burden,bur-​den
burn,No syllable
bury,No syllable
bus,No syllable
business,busi-​ness
busy,No syllable
but,No syllable
butter,but-​ter
button,but-​ton
buy,No syllable
buyer,buy-​er
by,No syllable
cabin,cab-​in
cabinet,cab-​i-​net
cable,ca-​ble
cake,No syllable
calculate,cal-​cu-​late
call,No syllable
camera,cam-​era
camp,No syllable
campaign,cam-​paign
campus,cam-​pus
can,No syllable
Canadian,Ca-​na-​di-​an
cancer,can-​cer
candidate,can-​di-​date
cap,No syllable
capability,ca-​pa-​bil-​i-​ty
capable,ca-​pa-​ble
capacity,ca-​pac-​i-​ty
capital,cap-​i-​tal
captain,cap-​tain
capture,cap-​ture
car,No syllable
carbon,car-​bon
card,No syllable
care,No syllable
career,ca-​reer
careful,care-​ful
carefully,care-​ful
carrier,car-​ri-​er
carry,car-​ry
case,No syllable
cash,No syllable
cast,No syllable
cat,No syllable
catch,No syllable
category,cat-​e-​go-​ry
Catholic,cath-​o-​lic
cause,No syllable
ceiling,ceil-​ing
celebrate,cel-​e-​brate
celebration,cel-​e-​brate
celebrity,ce-​leb-​ri-​ty
cell,No syllable
center,cen-​ter
central,cen-​tral
century,cen-​tu-​ry
CEO,No syllable
ceremony,cer-​e-​mo-​ny
certain,cer-​tain
certainly,cer-​tain-​ly
chain,No syllable
chair,No syllable
chairman,chair-​man
challenge,chal-​lenge
chamber,cham-​ber
champion,cham-​pi-​on
championship,cham-​pi-​on-​ship
chance,No syllable
change,No syllable
changing,No syllable
channel,chan-​nel
chapter,chap-​ter
character,char-​ac-​ter
characteristic,char-​ac-​ter-​is-​tic
characterize,char-​ac-​ter-​ize
charge,No syllable
charity,char-​i-​ty
chart,No syllable
chase,No syllable
cheap,No syllable
check,No syllable
cheek,No syllable
cheese,No syllable
chef,No syllable
chemical,chem-​i-​cal
chest,No syllable
chicken,chick-​en
chief,No syllable
child,No syllable
childhood,child-​hood
Chinese,Chi-​nese
chip,No syllable
chocolate,choc-​o-​late
choice,No syllable
cholesterol,cho-​les-​ter-​ol
choose,No syllable
Christmas,Christ-​mas
church,No syllable
cigarette,cig-​a-​rette
circle,cir-​cle
circumstance,cir-​cum-​stance
cite,No syllable
citizen,cit-​i-​zen
city,No syllable
civil,civ-​il
civilian,ci-​vil-​ian
claim,No syllable
class,No syllable
classic,clas-​sic
classroom,class-​room
clean,No syllable
clear,No syllable
clearly,clear-​ly
client,cli-​ent
climate,cli-​mate
climb,No syllable
